Name,Address,Latitude,Longitude,_id,amount,amountLevels.0.amount,amountLevels.0.name,amountLevels.1.amount,amountLevels.1.name,amountLevels.2.amount,amountLevels.2.name,amountLevels.3.amount,amountLevels.3.name,billingId,createdBy.displayName,createdBy.userId,createdDate,isDeleted,month,priceLevels.0.amount,priceLevels.0.currency,priceLevels.0.description,priceLevels.0.from,priceLevels.0.name,priceLevels.0.to,priceLevels.1.amount,priceLevels.1.currency,priceLevels.1.description,priceLevels.1.from,priceLevels.1.name,priceLevels.1.to,priceLevels.2.amount,priceLevels.2.currency,priceLevels.2.description,priceLevels.2.from,priceLevels.2.name,priceLevels.2.to,priceLevels.3.amount,priceLevels.3.currency,priceLevels.3.description,priceLevels.3.from,priceLevels.3.name,priceLevels.3.to,requestDate,serviceId,serviceName,totalElementSuccess,totalRequestError,totalRequestSuccess,updatedBy.displayName,updatedBy.userId,updatedDate,userId,year
Công ty cổ phần công trình Nhà Việt Hồ Chí Minh,"
Số 46 đường Hưng Gia 2, Tân Phong, Quận 7, Hồ Chí Minh 700000, Vietnam",10.7324939,106.6347551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trung tâm Phụ Vụ Khách hàng - Công ty TNHH Phát Triển Phú Mỹ Hưng,"
36 P street The Panorama, Tân Phong, Quận 7, Hồ Chí Minh, Vietnam",10.7324939,106.6347551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi Nhánh Công Ty Tnhh Hệ Thống Mới Việt Nam Tại Thành Phố Hồ Chí Minh,"
18B Đ.Nam Quốc Cang, P, Quận 1, Hồ Chí Minh 700000, Vietnam",10.7324939,106.6347551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTy,"
71 Đường Số 2, Phường 16, Quận 8, Hồ Chí Minh, Vietnam",10.7119962,106.5485935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Showroom INOAC Living Ho Chi Minh,"
Toà nhà The Grace, 71 Hoàng Văn Thái, P. Phú Thuận, Quận 7, Hồ Chí Minh 10000, Vietnam",10.7308299,106.651608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,66ac4bb71259038a122a8211,400.0,400.0,Giá mức 1,0.0,Giá mức 2,0.0,Giá mức 3,0.0,Giá mức 4,,System,System,2024-08-02T03:00:06.124Z,False,8.0,40.0,VND,default,0.0,Giá mức 1,100000.0,40.0,VND,default,100001.0,Giá mức 2,500000.0,30.0,VND,default,500001.0,Giá mức 3,1250000.0,20.0,VND,default,1250001.0,Giá mức 4,,2024-08-01T12:00:00.000Z,6214b2fe91f655595cbed4fb,Bản đồ 2D (Mobile),0.0,0.0,10.0,System,System,2024-08-12T03:00:01.490Z,43262934-01d3-4b21-aea4-fb77b0abb2d5,2024.0
,,,,66ac4bb71259038a122a8212,3600.0,3600.0,Giá mức 1,0.0,Giá mức 2,0.0,Giá mức 3,0.0,Giá mức 4,,System,System,2024-08-02T03:00:06.128Z,False,8.0,40.0,VND,default,0.0,Giá mức 1,100000.0,40.0,VND,default,100001.0,Giá mức 2,500000.0,30.0,VND,default,500001.0,Giá mức 3,1250000.0,20.0,VND,default,1250001.0,Giá mức 4,,2024-08-01T12:00:00.000Z,5e9925272eb96015a0d00713,Bản đồ 2D (Web),0.0,0.0,90.0,System,System,2024-08-12T03:00:01.492Z,43262934-01d3-4b21-aea4-fb77b0abb2d5,2024.0
,,,,66ac4bb71259038a122a8214,1876720.0,1876720.0,Giá mức 1,0.0,Giá mức 2,0.0,Giá mức 3,0.0,Giá mức 4,,System,System,2024-08-02T03:00:06.138Z,False,8.0,40.0,VND,default,0.0,Giá mức 1,100000.0,40.0,VND,default,100001.0,Giá mức 2,500000.0,30.0,VND,default,500001.0,Giá mức 3,1250000.0,20.0,VND,default,1250001.0,Giá mức 4,,2024-08-01T12:00:00.000Z,5e9925272eb96015a0d00713,Bản đồ 2D (Web),0.0,0.0,46918.0,System,System,2024-08-12T03:00:01.513Z,81297fc1-91a2-418b-ab49-a3e0d272f630,2024.0
,,,,66ac4bb71259038a122a8215,135320.0,135320.0,Giá mức 1,0.0,Giá mức 2,0.0,Giá mức 3,0.0,Giá mức 4,,System,System,2024-08-02T03:00:06.143Z,False,8.0,40.0,VND,default,0.0,Giá mức 1,100000.0,40.0,VND,default,100001.0,Giá mức 2,500000.0,30.0,VND,default,500001.0,Giá mức 3,1250000.0,20.0,VND,default,1250001.0,Giá mức 4,,2024-08-01T12:00:00.000Z,6214b2fe91f655595cbed4fb,Bản đồ 2D (Mobile),0.0,0.0,3383.0,System,System,2024-08-12T03:00:01.517Z,81297fc1-91a2-418b-ab49-a3e0d272f630,2024.0
,,,,66ac4bb71259038a122a8216,893047.0,893047.0,Giá mức 1,0.0,Giá mức 2,0.0,Giá mức 3,0.0,Giá mức 4,,System,System,2024-08-02T03:00:06.147Z,False,8.0,47.0,VND,default,0.0,Giá mức 1,100000.0,47.0,VND,default,100001.0,Giá mức 2,500000.0,37.6,VND,default,500001.0,Giá mức 3,1250000.0,32.9,VND,default,1250001.0,Giá mức 4,,2024-08-01T12:00:00.000Z,5e9925272eb96015a0d1070d,Phân giải địa chỉ,0.0,0.0,19001.0,System,System,2024-08-12T03:00:01.520Z,81297fc1-91a2-418b-ab49-a3e0d272f630,2024.0
