Name,Address,OpeningHours,URL
Chú Gấu Béo Ăn Vặt - Phạm Hùng,"54/171 Ấp 4 Phạm Hùng, X. Bình Hưng, Bình Chánh, TP. HCM",,https://shopeefood.vn/ho-chi-minh/chu-gau-beo-an-vat-pham-hung
,,,https://shopeefood.vn/ho-chi-minh/hem-thai-07
Cơm Gà Xối Mỡ A Mặp - Ung Văn Khiêm,"42/38 Ung Văn Khiêm, Bình Thạnh, TP. HCM",,https://shopeefood.vn/ho-chi-minh/com-ga-xoi-mo-a-map-ung-van-khiem
,,,https://shopeefood.vn/ho-chi-minh/nem-nuong-h-rosy-tam-binh
,,,https://shopeefood.vn/ho-chi-minh/bep-cua-miheo-mi-xao-ha-cao-hongkong-chan-ga-rut-xuong-xot-thai
,,,https://shopeefood.vn/ho-chi-minh/banh-flan-gia-hy-an-vat-nha-lam
"Tiệm Mì “Trộn” - Mì Trộn, Bún Mắm Nêm","47/2/1 Bùi Đình Tuý, P. 14, Bình Thạnh, TP. HCM",,https://shopeefood.vn/ho-chi-minh/tiem-mi-tron-mi-tron-bun-mam-nem
,,,https://shopeefood.vn/ho-chi-minh/thai-thae-goi-mi-tomyum-thai-tan-son-nhi
,,,https://shopeefood.vn/ho-chi-minh/mr-good-tea-nguyen-gia-tri
,,,https://shopeefood.vn/ho-chi-minh/tacos-nha-labubu-nguyen-gia-tri
,,,https://shopeefood.vn/ho-chi-minh/dau-hu-thui-vu-lang-nguyen
,,,https://shopeefood.vn/ho-chi-minh/tiem-kem-dup-liu-duong-so-11
Thái Fi - Trà Sữa Thái,"410/3A Lê Văn Quới, P. Bình Hưng Hòa, Bình Tân, TP. HCM",,https://shopeefood.vn/ho-chi-minh/thai-fi-tra-sua-thai
,,,https://shopeefood.vn/ho-chi-minh/lau-ga-la-e-do-xuan-hop
,,,https://shopeefood.vn/ho-chi-minh/bot-chien-bin-bin
,,,https://shopeefood.vn/ho-chi-minh/bun-bo-ba-tam-tran-quang-co
"Gà Rán Street Food - Pizza, Burger & Mỳ Ý - Tôn Thất Thuyết","135 Tôn Thất Thuyết, P. 15, Quận 4, TP. HCM",,https://shopeefood.vn/ho-chi-minh/ga-ran-street-food-pizza-burger-my-y-ton-that-thuyet
Mì Bò Tứ Xuyên 336 - Lương Định Của,"336 Lương Định Của, P. An Phú, Thành Phố Thủ Đức, TP. HCM",,https://shopeefood.vn/ho-chi-minh/mi-bo-tu-xuyen-336-luong-dinh-cua
,,,https://shopeefood.vn/ho-chi-minh/mien-trung-quan-chuan-vi-mien-trung-dang-thuy-tram
,,,https://shopeefood.vn/ho-chi-minh/viva-chicken-ga-ran-xoi-ga-pizza-dong-xoai
"Cơm Tấm, Bún Thịt Nướng & Gỏi Cuốn Cô Thư - Đường TX 25","48/27 Đường TX 25, Khu Phố 2, P. Thạnh Xuân, Quận 12, TP. HCM",,https://shopeefood.vn/ho-chi-minh/com-tam-bun-thit-nuong-goi-cuon-co-thu-duong-tx-25
,,,https://shopeefood.vn/ho-chi-minh/pha-lau-diem-my-nguyen-thai-son
,,,https://shopeefood.vn/ho-chi-minh/la-ca-quan-bui-minh-truc
,,,https://shopeefood.vn/ho-chi-minh/banh-trang-tron-ngoc-chau
,,,https://shopeefood.vn/ho-chi-minh/chan-ga-sot-thai-lau-thai-lau-khan-le-duc-tho
Quán WIN - Cơm Gà Xối Mỡ & Bò Né,"28A Hồ Văn Long, P. Bình Hưng Hoà B, Bình Tân, TP. HCM",,https://shopeefood.vn/ho-chi-minh/quan-win-com-ga-xoi-mo-bo-ne
Bún Bò Viên & Cari Dê Ấn Chú Pin - Đường 394 Tạ Quang Bửu,"20 Đường 394 Tạ Quang Bửu, P. 5, Quận 8, TP. HCM",,https://shopeefood.vn/ho-chi-minh/bun-bo-vien-cari-de-an-chu-pin-duong-394-ta-quang-buu
Bún Đậu Cô Ngải Hải Dương,"65 Nguyễn Văn Quá, P. Tân Hưng Thuận, Quận 12, TP. HCM",,https://shopeefood.vn/ho-chi-minh/bun-dau-co-ngai-hai-duong
,,,https://shopeefood.vn/ho-chi-minh/quan-hi-lac-chay
,,,https://shopeefood.vn/ho-chi-minh/trai-cay-cat-san-khoi-fruit
,,,https://shopeefood.vn/ho-chi-minh/tra-sua-la-tra-nguyen-thuong-hien
,,,https://shopeefood.vn/ho-chi-minh/lau-ly-banh-trang-co-minh
,,,https://shopeefood.vn/ho-chi-minh/bun-cha-ha-noi-khoi-le-dinh-can
,,,https://shopeefood.vn/ho-chi-minh/chef-chao-nguyen-trai
Tiệm Nhân Mã - Gà Viên Sốt - Đường 11,"12 Đường 11, P. Linh Xuân, Thành Phố Thủ Đức, TP. HCM",,https://shopeefood.vn/ho-chi-minh/tiem-nhan-ma-ga-vien-sot-duong-11
,,,https://shopeefood.vn/ho-chi-minh/tay-ky-khau-nhuc-com-ga
,,,https://shopeefood.vn/ho-chi-minh/tan-ca-phe-181-cach-mang-thang-8
,,,https://shopeefood.vn/ho-chi-minh/wallace-burger-chicken-355-nguyen-duy-trinh
,,,https://shopeefood.vn/ho-chi-minh/nang-no-food-vuon-lai
,,,https://shopeefood.vn/ho-chi-minh/vuon-tala-tiem-tra-an-vat-pham-thi-hy
,,,https://shopeefood.vn/ho-chi-minh/quynh-ghe-2-pham-hung
