name,address,lat,lng,matched_keyword
Chùa Thọ Hạ,"P986+J4P, Unnamed, Road",17.7165762,106.3603275,Chùa
Vũng Chùa Travel - Chuyên tour du lịch số 1 tại Quảng Bình.,Phường Hải Thịnh,17.4671132,106.6130346,Chùa
Thôn lăng chùa,"7P85+364, Hoa Thuỷ",17.265143,106.7081211,Chùa
南門廟,"P8HV+426, Quảng Thuỷ",17.7269499,106.3423236,Chùa
Nhà Văn Hoá Thôn Lăng Chùa,"7P92+2W3, Xuân Hòa",17.2674191,106.7030144,Chùa
ABALONE BILLIARDS CLUB - Lý Thường Kiệt,"PCXJ+538, Lý Thường Kiệt, xóm Cầu",17.7479071,106.4301943,Chùa
Đồn Biên Phòng Roòn Tố Hũng Tác Biện Phòng Vùng Chùa,"J864+P4M, ĐT20, Sơn Trạch",17.6117717,106.3053435,Chùa
Nhà Thờ Họ Mai,"Đường hẻm xóm Chùa Đội 1, Quy Hậu",17.2123656,106.8008361,Chùa
xóm Chùa,"xóm Chùa, Tây Trạch, Bố Trạch, Quảng Bình, Việt Nam",17.5829244,106.501698,Chùa
xóm Chùa,"xóm Chùa, Quảng Thuận, Ba Đồn, Quảng Bình, Việt Nam",17.7481393,106.4310172,Chùa
Sở Dân Tộc và Tôn Giáo Tỉnh Quảng Bình,"39 Nguyễn Hữu Cảnh, Đồng Hải",17.4624165,106.6224383,Cơ sở đào tạo tôn giáo
Sở Giáo dục và Đào tạo Quảng Trị,"187 Hữu Nghị, Nam Sách",17.4705352,106.6075006,Cơ sở đào tạo tôn giáo
Thánh Đường Giáo Xứ Tam Toà,"Đường Phạm Văn Đồng, Nam Sách",17.4642611,106.607047,Cơ sở đào tạo tôn giáo
Sai Gon Quang Binh Hotel,"20 Quách Xuân Kỳ, Đồng Hải",17.467376,106.625486,Cơ sở đào tạo tôn giáo
Tháp Chuông nhà thờ Tam Tòa (cũ),"FJGF+275, Đồng An",17.4750004,106.6232277,Công trình tôn giáo khác
Thang Cong,"Thang Cong, Trường Sơn, Bố Trạch, Quảng Bình, Việt Nam",17.4333333,106.4,Công trình tôn giáo khác
Đền Thờ Bác Hồ Và Các Anh Hùng Liệt Sĩ Tỉnh Quảng Bình,"FJ9C+98H, Nguyễn Thị Minh Khai, Đồng Hải",17.4684492,106.6208644,Đền
Đền Mẫu Quảng Bình - Đền Trị Thủy,"CJ8V+2WF, tiểu khu 1",17.4150569,106.6448022,Đền
Đền Tưởng Niệm Liệt Sĩ Trường Sơn Bến Phà Long Đại,"8JGF+86V, Thôn Long Đại",17.3258649,106.6230426,Đền
Đền An Sinh Trốc Vực - Tổ Mẫu Linh Từ,"4RX4+H8C, Văn Minh",17.148944,106.8057812,Đền
Đền thờ Dương Văn An,"Đội 4, thôn tuy lộc",17.232943,106.7663045,Đền
