place_id,name,address,lat,lng,matched_keyword
ChIJ36vIegC7ODER1BDZUo_ppzg,Động Phong Nha,"Vườn quốc gia, Phong Nha",17.5816795,106.283462,tháp cao
ChIJP0sDyY2gODERKQ6IzIzzlUY,Bãi biển Đá Nhảy Thanh Trạch,"MG67+8WP, Thanh Trạch",17.6608422,106.5148303,tháp cao
ChIJRbOfWMakODERuhDrCgnSasE,Phong Nha Ồ Ồ Lake,Khương Hà,17.6129215,106.3619702,tháp cao
ChIJcbOQRsmzODERNIR6_qBKZYE,Hang Én,"C7RR+FWR, 565, Tân Trạch",17.4412457,106.2922525,tháp cao
ChIJQTJ1TmypQDERYWq-rZknT7M,Khe Nước Lạnh,"6HJW+FRW, Rào Đá",17.2312375,106.5970892,tháp cao
ChIJ563hvTfHODERyZsV_SeBZKA,Đèo Đá Đẽo,"Cầu Chà Nòi, Hồ Chí Minh, Xuân Trạch",17.641891,106.11203,tháp cao
ChIJGwsfmjKxQDERShck3E0Yz4Q,Chùa Hoằng Phúc,"5RX6+7JM Chợ, Mỹ Thuỷ",17.1991911,106.8137866,tháp cao
ChIJK82Y3KulODERSqDLnvrhtwg,Khu du lịch sinh thái Ozo Park,"H9J5+27C, Thôn đông giang",17.52654,106.2770613,tháp cao
ChIJs8YPa9W7ODERlOtgJXbYvTM,Chày Lập Farmstay,Thôn Chày Lập,17.6034789,106.25479,tháp cao
ChIJo4JfxLSYODER8QUEOOEA09E,Cổng làng Quảng Thuận,"PCPQ+QMC, Lý Thường Kiệt, xóm Me",17.736943,106.439142,Cổng
ChIJQzxlGAZRRzERXY_WH-Zpglo,Cổng chào thành phố Đồng Hới,"CJPM+7QV, Quang Trung, Lương Ninh",17.4357353,106.6344183,Cổng
ChIJiUw_-6OZODERSFFNddBbMcw,Cổng làng Xuân Kiều,"QCJP+6JR, Thôn xuân kiều",17.7813377,106.4371119,Cổng
ChIJUVplNp1XRzERX3axPgDCTC8,Cổng Đông - Thành cổ Đồng Hới,"FJ9F+3PX, Hải Đình",17.4677449,106.6243456,Cổng
ChIJjxdd2peZODEROEkuePWbu6I,Chợ Cổng Quảng Lưu,Tam Đa,17.7968152,106.379755,Cổng
ChIJ_S7-GACXODERiW_1x4E6cIw,Cổng Làng Thôn Biểu Lệ,"P8VR+HMG, Biểu Lệ",17.7439291,106.3417064,Cổng
ChIJv9uELgClODERbcOmRlcxdAo,Di tích 2 cột cổng làm Cự Nẫm,"Bố Trạch, Cự Nẫm",17.630533,106.3819345,Cổng
ChIJs8IsOgCxQDERD4e-OQk28JA,Cổng Chào Làng Lộc Thượng,"6QGG+3M5, Nguyễn Thị Minh Khai, An Thuỷ",17.2251294,106.7767193,Cổng
ChIJs82UEwBTRzERS30FaYXCM64,Cổng làng Hiển Vinh,Hiển Vinh,17.3585302,106.6742443,Cổng
ChIJ-2Zvc0mtQDERkL-Ku5jYreU,Cổng làng Hoành Vinh,"8M69+54H, Hoành Phố",17.3104556,106.6678727,Cổng
ChIJe_sXKACZODERZPFKDXDx6jw,Cổng chào Thị Xã Ba Đồn,"QC54+6P3, Quảng Phong",17.7580191,106.4068067,Cổng
ChIJjZNB-8KZODERlXR6n1O4HvM,Cổng Chiến Khu Trung Thuần,"Q9WJ+72F, Quảng Phong",17.7956841,106.3800393,Cổng
ChIJhyC94JNXRzERAeKvYJj3ia4,Cửa Cổng Đẹp Đồng Hới - Hoàng Vũ,"145 Lý Thường Kiệt, Phường Hải Thành",17.4812665,106.617778,Cổng
ChIJiStEwF5XRzERe5x6cASMHFc,CỔNG TỰ ĐỘNG QUẢNG BÌNH,Lộc Ninh,17.5082976,106.5860026,Cổng
ChIJRRdzV7yZODERssPVcfpxjVw,Cổng thôn Tân Hóa,Tân Tiến,17.7501022,106.3619052,Cổng
ChIJYVkoTgCpQDERyJof9A4YH6E,Cổng Làng bản Còi Đá,"6JQ2+FX4, Rào Đá",17.2386471,106.6024685,Cổng
ChIJSXU2Zt2nODERsLWsMcwe8xY,Cổng chào Thôn Dinh Lễ,"JFC9+32P, xóm Lệ",17.6212639,106.4662374,Cổng
ChIJVd00k8-XODERgClxvEHw8OM,Cổng làng Thượng Thọ,"Q7MR+963, Thôn Thượng Thọ, Cảnh Hoá",17.7833887,106.2905621,Cổng
ChIJjWJRFwCxQDER0HQgvnNa6QM,Cổng chào Làng Đại Phong,"6QGG+MH2, Phong Thuỷ",17.2266473,106.7763812,Cổng
ChIJD2C3AjpXRzERh3kXjT_YDoA,Quảng Bình Quan,"Quảng Bình Quan, Quang Trung, Hải Đình",17.4632849,106.6240187,Cổng
ChIJbWhtPyeaODERW-HQDpdEKcU,Chợ Cổng Quảng Tiến,"R9CG+CR3, Văn Chung",17.8210599,106.377107,Cổng
ChIJs62Xwm1XRzER-2rAQRUkJrg,Cổng chào thành phố Đồng Hới,"GH8J+448, Lộc Ninh",17.5152793,106.5803399,Cổng
ChIJ99McpylXRzER04SISs-uUZ8,Cổng sau - Chợ Ga Đồng Hới,"FJ83+Q6Q, Nam Lý",17.4669508,106.6031159,Cổng
ChIJWQyVFHFXRzEROy961qMNZMw,Lắt đặt cửa cổng tự động Roger Italia,"182 Lý Thường Kiệt, Phường Hải Thành",17.4815832,106.6151593,Cổng
ChIJiRm-PWhXRzERSlewse7GJ34,May 10 Quảng Bình,"FHQJ+VHX, Lộc Ninh",17.4897381,106.5814713,Cổng
