name,address,lat,lng,field_5,field_6
Cửa Hàng Xăng Dầu Minh Hớn 2,"105, Quốc Lộ 53, Khóm 4, Phường 5, Phường 5, Trà Vinh",9.9240471,106.3515066,,
PVOIL TRÀ VINH CHXD SỐ 01,"Võ Nguyên Giáp, Khóm 9, Trà Vinh, 940000",9.9237976,106.3269399,,
Cửa hàng Xăng dầu Petrolimex Số 14,"XW9H+H88, QL54, Trà Ôn, Vĩnh Long",9.968917,105.928316,,
Cửa hàng Xăng dầu Petrolimex Số 47,"24J5+FXQ, Hiếu Nhơn, Vũng Liêm, Vĩnh Long",10.0312194,106.1099951,,
Cửa hàng Xăng dầu Petrolimex Số 21,"355W+JXW, Trung Ngãi, Vũng Liêm, Vĩnh Long",10.0591127,106.1974646,,
Cửa Hàng Xăng Dầu PETRO MINH QUÂN Minh Quân,"Vĩnh Kim, Cầu Ngang, Trà Vinh",9.8362804,106.4557151,,
Đại Lý Xăng Dầu Quốc Bình (cơ sở 1),"476c Đ. Nguyễn Đáng, Phường 6, Trà Vinh",9.9237441,106.3389437,,
Cửa Hàng Xăng Dầu Trà Cú,"Q88F+X2R, QL54, Phước Hưng, Trà Cú, Trà Vinh",9.7674882,106.3225142,,
Cửa Hàng Xăng Dầu Đại An,"J8J3+RV5, QL53, Đại An, Trà Cú, Trà Vinh",9.6320134,106.3047248,,
Cửa hàng Xăng dầu Pv Oil số 53,"R5HV+XFF, QL60, Phú Cần, Tiểu Cần, Trà Vinh",9.8299648,106.1937192,,
Đại lý xăng dầu,"171 QL60, khóm 3, Trà Vinh",9.9133053,106.3125915,,
Cửa hàng Xăng dầu Petrolimex Số 02,"tt. Trà Cú, Trà Cú, Trà Vinh",9.6881196,106.2600447,,
Công Ty Xăng Dầu Trà Vinh - Kho Xăng Dầu Trà Vinh,"X84X+VQJ, Bạch Đằng, Hoà Thuận, Trà Vinh",9.9572004,106.3493997,,
