name,address,lat,lng
Cửa hàng Xăng dầu Petrolimex Số 38,"5QFG+FPJ, ĐT908, Tân Thành, Bình Tân, Vĩnh Long",10.1737278,105.7768069
Petrolimex số 33,"Tổ 13, ấp Tân Lộc, QL54, Tân Lược, Bình Tân, Vĩnh Long 85414",10.1377824,105.7192415
Cửa hàng Xăng dầu Petrolimex Số 66,"3RCF+925, Cái Vồn, Bình Minh, Vĩnh Long",10.0708846,105.8226004
Cửa hàng Xăng dầu Petimex Số 45 - Long Hiệp,"525C+MQ4, QL53, Tân Long, Long Hồ, Vĩnh Long",10.159141,106.0219533
Cửa hàng Xăng dầu Petrolimex Số 36,"200 QL1A, Song Phú, Tam Bình, Vĩnh Long",10.1111694,105.8914169
Cửa hàng Xăng dầu Petrolimex Số 39,"3Q8V+CFR, QL54, Thành Lợi, Bình Tân, Vĩnh Long",10.0661014,105.7936476
Cửa hàng Xăng dầu Petroimex Số 64,"72F4+5MP, Bình Hoà Phước, Long Hồ, Vĩnh Long",10.2729522,106.0067181
Cửa hàng Xăng dầu Petrolimex Số 43,"53CV+8C8, ĐT903, Cái Nhum, Mang Thít, Vĩnh Long",10.1707763,106.0935676
Cửa hàng Xăng dầu Petrolimex Số 52,"447J+FVH, ĐH 61, Trung Hiệp, Vũng Liêm, Vĩnh Long",10.1135942,106.1321381
Cửa hàng Xăng dầu Petrolimex Số 40,"62RW+MXW, ĐT902, Mỹ An, Mang Thít, Vĩnh Long",10.241727,106.0474399
Cửa hàng Xăng dầu Petrolimex Số 08,"2644+PC2, QL53, TT. Càng Long, Càng Long, Trà Vinh",10.0067667,106.2060158
Cửa hàng Xăng dầu Petrolimex Số 54,"454J+84F, Ấp Hòa Nghĩa, Vũng Liêm, Vĩnh Long",10.1058218,106.180283
Petrolimex Số 65,"4Q32+M3G, QL54, Tân Qưới, Bình Tân, Vĩnh Long",10.104197,105.7501915
CỬA HÀNG XĂNG DẦU CAM THỦY 22,"QL1A, Mỹ Hoà, Bình Minh, Vĩnh Long",10.0439973,105.8227865
